order_id,customer_name,product,quantity,unit_price,order_date
101,Asha Nair,Laptop,2,45000,1/10/2025
102,Rahul Menon,Keyboard,3,1200,1/15/2025
103,Divya Iyer,Mouse,-1,700,9/20/2025
104,Pradeep Kumar,Monitor,1,8500,2025-02-30
105,Anjali S,Laptop,2,42000,1/1/2026
106,Sameer R,Headphones,1,2500,3/5/2025
107,Meera Pillai,Webcam,0,1800,4/10/2025
108,Arun Raj,Mousepad,2,-500,3/12/2025
109,Lekha Joseph,Printer,1,12000,12/1/2024
110,John Daniel,SSD,3,3500,7/18/2025
111,Vinod Kumar,Router,1,4500,5/22/2025
112,Aparna Devi,Laptop,2,48000,2025-01-32
113,Shreya T,Keyboard,3,1500,2025-13-10
114,Harish Mohan,Mouse,2,700,2025-00-15
115,Kiran Babu,Monitor,1,8500,1/5/2025
116,Farhan Ali,Headphones,-2,2000,3/1/2025
117,Harini R,SSD,1,3000,5/10/2027
118,Nithin P,Mousepad,2,400,11/5/2025
119,Sachin Patil,Printer,1,13000,10/28/2025
120,Roshan George,Laptop,2,55000,4/17/2025
121,Anu Mathew,Keyboard,3,1600,3/15/2025
122,Karthik Iyer,Mouse,4,800,2/10/2025
123,Dhanya L,Webcam,1,2000,2025-02-29
124,Suhail Ahmed,Monitor,2,9000,11/25/2024
125,Keerthi S,Laptop,1,47000,9/14/2025
126,Bhavana Joshi,Keyboard,-3,1500,8/10/2025
127,Ganesh Rao,Mousepad,4,500,6/5/2025
128,Sushma R,Headphones,2,0,6/10/2025
129,Arjun S,SSD,3,3800,12/30/2024
130,Simran Kaur,Router,1,4500,2025-04-31
131,Vishnu Das,Printer,1,-1000,7/11/2025
132,Manoj Pillai,Webcam,2,1800,2/5/2025
133,Sreedevi P,Mouse,1,700,5/20/2023
134,Tanvi Shah,Laptop,2,50000,5/25/2025
135,Deepak Nair,Keyboard,0,1200,3/19/2025
136,Om Prakash,Monitor,1,8500,9/9/2025
137,Meghana R,SSD,2,3000,8/20/2025
138,Nazim Khan,Mousepad,2,500,2/28/2025
139,Riya Sen,Headphones,1,2500,6/15/2025
140,Arvind Gupta,Router,1,4500,10/1/2025
141,Teena Joseph,Printer,-1,14000,11/2/2025
142,Kavya Menon,Keyboard,3,1300,7/5/2025
143,Anoop Krishnan,Laptop,2,52000,3/22/2025
144,Jayesh R,Monitor,0,8000,4/12/2025
145,Swapna Rao,Mouse,3,700,6/30/2025
146,Niharika S,Router,1,4500,2/27/2025
147,Pranav Pai,SSD,2,3600,12/15/2025
148,Sheela Chacko,Laptop,2,51000,5/10/2025
149,Rohit Shetty,Keyboard,3,1100,5/18/2025
150,Divakar M,Mousepad,1,500,12/20/2025
