order_id,customer_name,state,product,quantity,price_per_unit,status,reason
1002,Imran Shaikh,Maharashtra,Laptop Bag,two,800,pending,invalid literal for int() with base 10: 'two'
1003,Lobsang Tsering,Ladakh,Mouse,3,-350,delivered,Not valid state
1004,Priya Singh,Karnataka,Keyboard,0,700,cancelled,Invalid quantity
1005,R. Kumar,Tamil Nadu,Tablet,2,,shipped,Field Missing
1006,,Gujarat,Headphones,1,999,shipped,Field Missing
1007,Harpreet Kaur,Punjab,Charger,,450,pending,Field Missing
1009,Anjali Menon,Kerala,Smartwatch,three,3400,shipped,invalid literal for int() with base 10: 'three'
1013,Meena Reddy,Telangana,Keyboard,abc,600,cancelled,invalid literal for int() with base 10: 'abc'
1017,Deepthi Rao,Kerala,Smartwatch,0,2500,pending,Invalid quantity
1019,Aditi Sharma,Delhi,Tablet,,15000,shipped,Not valid state
1021,Sonam Chhetri,Sikkim,Mouse,three,400,cancelled,invalid literal for int() with base 10: 'three'
1024,,Punjab,Speaker,1,1200,delivered,Field Missing
1026,Samuel Varghese,Kerala,Mobile Phone,0,14000,pending,Invalid quantity
1029,Usha Thakur,Madhya Pradesh,Keyboard,three,650,cancelled,invalid literal for int() with base 10: 'three'
1031,Rohit Sharma,Delhi,Smartwatch,1,3500,shipped,Not valid state
1032,Anuj Tyagi,Uttar Pradesh,Tablet,1,,pending,Field Missing
1035,Anil Kumar,Tamil Nadu,Mouse,,500,pending,Field Missing
1038,Shaheen Ali,Jammu & Kashmir,Smartwatch,1,2800,pending,Not valid state
1039,Rishi Batra,Punjab,Mouse,0,450,cancelled,Invalid quantity
1043,Maria Lopez,InvalidState,Tablet,2,12000,shipped,Not valid state
1044,Akash Singh,Delhi,Mobile Phone,2,-15000,cancelled,Not valid state
1045,Sonia Jain,Rajasthan,Speaker,one,1800,delivered,invalid literal for int() with base 10: 'one'
1048,Akriti Sharma,Uttar Pradesh,Smartwatch,0,3000,shipped,Invalid quantity
1054,Nikhil Gupta,Madhya Pradesh,Mouse,three,450,pending,invalid literal for int() with base 10: 'three'
1057,Swati Desai,Gujarat,Tablet,1,,delivered,Field Missing
1059,Tara Sharma,Delhi,Mobile Phone,0,14000,pending,Not valid state
1062,Nawaz Sheikh,Jammu & Kashmir,Keyboard,2,-650,pending,Not valid state
1063,Prem Roy,Haryana,Mouse,one,450,cancelled,invalid literal for int() with base 10: 'one'
1068,Kuldeep Singh,Rajasthan,Smartwatch,,2800,pending,Field Missing
1069,Reema Khan,Delhi,Keyboard,2,750,shipped,Not valid state
1071,Ashok Menon,Kerala,Mouse,0,450,pending,Invalid quantity
1073,Nisha Reddy,Telangana,Tablet,two,16000,delivered,invalid literal for int() with base 10: 'two'
1075,Elena Richard,Tamil Nadu,Mobile Phone,1,,pending,Field Missing
1078,Avinash Sethi,Delhi,USB Cable,three,200,pending,Not valid state
1081,K. Rajan,Tamil Nadu,Tablet,0,15000,shipped,Invalid quantity
1085,Irfan Qureshi,Jammu & Kashmir,Keyboard,1,650,pending,Not valid state
1086,Aditi Gupta,Delhi,Mobile Phone,2,15000,shipped,Not valid state
1087,Gurpreet Singh,Punjab,Mouse,,500,delivered,Field Missing
1089,Rachna Tiwari,Uttar Pradesh,Mouse,one,350,shipped,invalid literal for int() with base 10: 'one'
1091,Rehan Malik,Haryana,Laptop Bag,1,,pending,Field Missing
1092,Tsering Dolma,Ladakh,Tablet,1,17000,shipped,Not valid state
1094,,Madhya Pradesh,Mobile Phone,2,15000,pending,Field Missing
1095,Vikas Babu,Karnataka,Keyboard,three,700,shipped,invalid literal for int() with base 10: 'three'
1096,Savita Jain,Delhi,Charger,4,300,delivered,Not valid state
1098,Sajida Begum,Andhra Pradesh,Tablet,,16000,shipped,Field Missing
1106,Mohan Das,Kerala,Laptop Bag,2,,pending,Field Missing
1107,Sadia Qureshi,Delhi,Headphones,abc,950,delivered,Not valid state
1109,Ankush Gupta,Haryana,Mouse,0,350,shipped,Invalid quantity
1111,Javed Khan,Uttar Pradesh,Mobile Phone,one,15000,delivered,invalid literal for int() with base 10: 'one'
1114,Tabassum Bano,Jammu & Kashmir,Tablet,2,16000,delivered,Not valid state
1117,Mishti Roy,West Bengal,Mouse,,450,cancelled,Field Missing
1121,Kashmira Shah,Goa,Tablet,0,16000,shipped,Invalid quantity
1123,Nizam Ali,Delhi,Charger,one,300,pending,Not valid state
1128,Sachin Yadav,Uttar Pradesh,Mobile Phone,,15000,shipped,Field Missing
1129,Harsha P,Vizag,Smartwatch,2,2500,delivered,Not valid state
1130,,InvalidState,Mouse,2,450,shipped,Field Missing
1132,Pramod K,Maharashtra,Headphones,0,999,cancelled,Invalid quantity
1134,Shreya Kole,Maharashtra,USB Cable,three,200,delivered,invalid literal for int() with base 10: 'three'
1139,Saloni Mishra,Delhi,Charger,0,300,shipped,Not valid state
1142,Mukesh Das,Assam,Mouse,one,450,pending,invalid literal for int() with base 10: 'one'
1144,Sahana Rao,Telangana,Mobile Phone,1,,pending,Field Missing
