asset_id,asset_tag,asset_type,serial_number,manufacturer,model,purchase_date,warranty_years,condition_status,assigned_to,location,asset_status,last_updated
,UST-LTP-0002,Laptop,SNLN10002,Lenovo,ThinkPad E15,2023-02-10,2,New,Anjali Nair,Bangalore,Assigned,2025-11-28 04:26:30.576364
,UST-MNT-0003,Monitor,SNLG10003,LG,UltraWide 29WL500,2021-11-20,2,Good,,Chennai,Available,2025-11-28 04:26:30.576450
,UST-MNT-0004,Monitor,SNSAM10004,Samsung,S24R350,2023-03-12,3,New,,Hyderabad,Available,2025-11-28 04:26:30.576489
,UST-LTP-0006,Laptop,SNLN10006,Lenovo,ThinkPad E16,2022-06-10,-1,New,Anita Das,Bangalore,Assigned,2025-11-28 04:26:30.577387
,UST-MNT-0008,Monitor,SNSAM10008,Samsng,S24R351,2025-03-12,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.578411
,UST-LTP-0010,Laptop,SNLN10010,Lenovo,ThinkPad E17,2023-02-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-28 04:26:30.579452
,UST-MNT-0011,Monitor,SNLG10011,LG,UltraWide 29WL501,2021-11-21,2,Good,,Chennai,Available,2025-11-28 04:26:30.579495
,UST-MNT-0012,Monitor,SNSAM10012,Samsung,S24R352,2023-03-13,3,New,,Hyderabad,Available,2025-11-28 04:26:30.579528
,UST-LTP-0014,Laptop,SNLN10014,Lenovo,ThinkPad E18,2023-02-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-28 04:26:30.580548
,UST-MNT-0015,Monitor,SNLG10015,LG,UltraWide 29WL502,2021-11-23,2,Good,,Chennai,Available,2025-11-28 04:26:30.580592
,UST-MNT-0016,Monitor,SNSAM10016,Samsung,S24R353,2023-03-14,3,New,,Hyderabad,Available,2025-11-28 04:26:30.580621
,UST-LTP-0018,Laptop,SNLN10018,Lenovo,ThinkPad E19,2022-06-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-28 04:26:30.581875
,UST-MNT-0019,Monitor,SNLG10019,LG,UltraWide 29WL503,2021-11-24,2,Good,,Chennai,Available,2025-11-28 04:26:30.582016
,UST-LTP-0022,Laptop,SNLN10022,Lenovo,ThinkPad E20,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-28 04:26:30.583801
,UST-MNT-0024,Monitor,SNSAM10024,Samsung,S24R355,2025-03-20,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.584776
,UST-LTP-0026,Laptop,SNLN10026,Lenovo,ThinkPad E21,2022-08-10,-2,New,Anita Das,Bangalore,Assigned,2025-11-28 04:26:30.586173
,UST-LTP-0030,Laptop,SNLN10030,Lenovo,ThinkPad E22,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-28 04:26:30.589194
,UST-MNT-0032,Monitor,SNSAM10032,Samsung,S24R357,2023-07-15,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.590020
,UST-LTP-0034,Laptop,SNLN10034,Lenovo,ThinkPad E23,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-28 04:26:30.591088
,UST-MNT-0036,Monitor,SNSAM10036,Samsung,S24R358,2023-11-14,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.591806
,UST-LTP-0038,Laptop,SNLN10038,Lenovo,ThinkPad E24,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-28 04:26:30.592621
,UST-MNT-0039,Monitor,SNLG10039,LG,UltraWide 29WL507,2021-11-24,2,Good,,Chennai,Available,2025-11-28 04:26:30.592669
,UST-LTP-0042,Laptop,SNLN10042,Lenovo,ThinkPad E25,2023-02-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-28 04:26:30.595373
,UST-MNT-0044,Monitor,SNSAM10044,Samsung,S24R360,2025-01-12,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.597475
,UST-LTP-0046,Laptop,SNLN10046,Lenovo,ThinkPad E26,2022-06-10,-1,New,Anita Das,Bangalore,Assigned,2025-11-28 04:26:30.598721
,UST-LTP-0050,Laptop,SNLN10050,Lenovo,ThinkPad E27,2023-09-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-28 04:26:30.604016
,UST-MNT-0052,Monitor,SNSAM10052,Samsung,S24R362,2023-07-15,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.605603
,UST-LTP-0054,Laptop,SNLN10054,Lenovo,ThinkPad E28,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-28 04:26:30.607990
,UST-MNT-0056,Monitor,SNSAM10056,Samsung,S24R363,2023-11-14,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.609278
,UST-LTP-0058,Laptop,SNLN10058,Lenovo,ThinkPad E29,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-28 04:26:30.610439
,UST-MNT-0059,Monitor,SNLG10059,LG,UltraWide 29WL511,2021-11-24,2,Good,,Chennai,Available,2025-11-28 04:26:30.610490
,UST-LTP-0062,Laptop,SNLN10062,Lenovo,ThinkPad E30,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-28 04:26:30.612445
,UST-MNT-0064,Monitor,SNSAM10064,Samsung,S24R365,2025-03-20,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.613246
,UST-LTP-0066,Laptop,SNLN10066,Lenovo,ThinkPad E31,2022-08-10,-2,New,Anita Das,Bangalore,Assigned,2025-11-28 04:26:30.614157
,UST-LTP-0070,Laptop,SNLN10070,Lenovo,ThinkPad E32,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-28 04:26:30.617361
,UST-MNT-0072,Monitor,SNSAM10072,Samsung,S24R367,2023-07-15,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.618247
,UST-LTP-0074,Laptop,SNLN10074,Lenovo,ThinkPad E33,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-28 04:26:30.619061
,UST-MNT-0076,Monitor,SNSAM10076,Samsung,S24R368,2023-11-14,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.619905
,UST-LTP-0078,Laptop,SNLN10078,Lenovo,ThinkPad E34,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-28 04:26:30.621094
,UST-MNT-0079,Monitor,SNLG10079,LG,UltraWide 29WL515,2021-11-24,2,Good,,Chennai,Available,2025-11-28 04:26:30.621173
,UST-LTP-0082,Laptop,SNLN10082,Lenovo,ThinkPad E35,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-28 04:26:30.622910
,UST-MNT-0084,Monitor,SNSAM10084,Samsung,S24R370,2025-03-20,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.623744
,UST-LTP-0086,Laptop,SNLN10086,Lenovo,ThinkPad E36,2022-08-10,-2,New,Anita Das,Bangalore,Assigned,2025-11-28 04:26:30.624712
,UST-LTP-0090,Laptop,SNLN10090,Lenovo,ThinkPad E37,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-28 04:26:30.627187
,UST-MNT-0092,Monitor,SNSAM10092,Samsung,S24R372,2023-07-15,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.627989
,UST-LTP-0094,Laptop,SNLN10094,Lenovo,ThinkPad E38,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-28 04:26:30.629259
,UST-MNT-0096,Monitor,SNSAM10096,Samsung,S24R373,2023-11-14,3,Good,,Hyderabad,Available,2025-11-28 04:26:30.630194
,UST-LTP-0098,Laptop,SNLN10098,Lenovo,ThinkPad E39,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-28 04:26:30.633900
,UST-MNT-0099,Monitor,SNLG10099,LG,UltraWide 29WL519,2021-11-24,2,Good,,Chennai,Available,2025-11-28 04:26:30.634101
