order_id,customer_name,state,product,quantity,price_per_unit,status
1001,Asha Verma,Uttar Pradesh,Mobile Phone,1,15000,shipped
1008,Joseph Dsouza,Goa,USB Cable,5,-150,delivered
1010,Ramesh Naik,Andhra Pradesh,Speaker,1,1200,pending
1011,Alok Pandey,Uttarakhand,Mouse,2,450,delivered
1012,Savita Borkar,Maharashtra,Laptop,1,52000,shipped
1014,Naveen Patil,Karnataka,Tablet,4,18000,shipped
1015,Sheela Mishra,Madhya Pradesh,Laptop Bag,2,-900,pending
1016,Karan Arora,Haryana,Charger,1,450,shipped
1018,Sameer Khan,Rajasthan,Mouse,2,350,delivered
1020,Vijay Gupta,Uttar Pradesh,Mobile Phone,2,14500,shipped
1022,K. Suresh,Tamil Nadu,Keyboard,1,-700,shipped
1023,Naresh Joshi,Gujarat,Charger,2,450,pending
1025,Anita Yadav,Haryana,Tablet,3,16000,shipped
1027,Arun Babu,Andhra Pradesh,USB Cable,4,200,shipped
1028,Manoj Kumar,Bihar,Mouse,1,450,delivered
1030,Rita Fernandes,Goa,Laptop Bag,2,-850,pending
1033,Megha Kapoor,Rajasthan,Charger,1,300,delivered
1034,Shruti Rao,Karnataka,Mobile Phone,2,16000,shipped
1036,Vishal Mehta,Gujarat,Keyboard,1,750,delivered
1037,Pooja Sethi,Haryana,Headphones,4,-999,shipped
1040,Trisha Dutt,West Bengal,Charger,3,250,shipped
1041,Aamir Hussain,Jharkhand,USB Cable,2,200,delivered
1042,Deepak Oraon,Chhattisgarh,Laptop Bag,1,800,shipped
1046,Rajiv Patel,Gujarat,Keyboard,1,650,shipped
1047,Mohan Lal,Himachal Pradesh,Mouse,2,350,pending
1049,Salman Yusuf,Karnataka,Laptop,1,48000,delivered
1050,Aparna Pillai,Kerala,Tablet,2,15000,shipped
1051,Yogesh Kumar,Maharashtra,USB Cable,4,200,pending
1052,Shivani Goyal,Haryana,Mobile Phone,2,15000,shipped
1053,Omkar Joshi,Goa,Charger,3,300,delivered
1055,Farida Rahman,Assam,Keyboard,1,700,shipped
1056,Lalit Kumar,Bihar,Smartwatch,2,2500,cancelled
1058,John Abraham,Kerala,Headphones,2,900,shipped
1060,Hari Krishnan,Tamil Nadu,USB Cable,2,200,shipped
1061,Suman Das,West Bengal,Laptop Bag,1,750,delivered
1064,Ritika Rao,Karnataka,Speaker,1,1200,shipped
1065,Jessica Dsouza,Goa,Tablet,4,18000,pending
1066,Satish Anand,Punjab,Mobile Phone,2,15000,delivered
1067,Latika Tiwari,Uttar Pradesh,Charger,3,250,shipped
1070,Vineet Soni,Himachal Pradesh,USB Cable,4,200,delivered
1072,Kabir Arora,Punjab,Laptop,1,52000,shipped
1074,Sachin Kumar,Bihar,Headphones,3,-999,cancelled
1076,Amrit Pal,Haryana,Mouse,2,350,shipped
1077,Varsha Bhandari,Gujarat,Keyboard,1,700,delivered
1079,Priya Nair,Kerala,Smartwatch,2,2500,shipped
1080,Farhan Ali,Uttar Pradesh,Speaker,1,1200,cancelled
1082,Deepika Madhavan,Karnataka,Charger,2,300,pending
1083,Mohan Rao,Andhra Pradesh,Laptop Bag,1,850,delivered
1084,Nalini Sharma,Rajasthan,Mouse,2,-450,shipped
1088,Kavin Kumar,Tamil Nadu,Headphones,5,999,pending
1090,Alisha Fernandes,Goa,Smartwatch,2,3000,delivered
1093,Manish Patel,Gujarat,USB Cable,2,200,delivered
1097,Raghav Sharma,Rajasthan,Smartwatch,2,2600,cancelled
1099,Rafiq Alam,Bihar,Mouse,1,-400,pending
1100,Nilima Patil,Maharashtra,Smartwatch,4,2600,shipped
1101,Vijay Rane,Maharashtra,Keyboard,2,750,shipped
1102,Vasudha Rao,Karnataka,Speaker,1,1200,delivered
1103,Bhavana Singh,Uttarakhand,Mobile Phone,2,14000,pending
1104,Sujit Kumar,Jharkhand,Tablet,1,15500,shipped
1105,Karishma Mehta,Gujarat,Mouse,2,450,shipped
1108,Ritesh Sharma,Rajasthan,USB Cable,5,200,cancelled
1110,Tina Karki,Sikkim,Smartwatch,1,2500,pending
1112,Sneha Nambiar,Kerala,Charger,1,300,shipped
1113,Rohit Sinha,Bihar,Headphones,4,-899,pending
1115,Ganesh Patil,Maharashtra,Laptop,1,52000,shipped
1116,Lavanya Rao,Andhra Pradesh,Keyboard,1,700,pending
1118,Saurabh Das,Assam,Speaker,1,1200,shipped
1119,Shankar Iyer,Tamil Nadu,Smartwatch,2,2600,delivered
1120,Aneesh George,Kerala,Mouse,3,400,pending
1122,Asha Dey,Tripura,USB Cable,2,200,delivered
1124,Aryan Mehra,Haryana,Keyboard,1,650,shipped
1125,Yusuf Pathan,Gujarat,Mouse,3,350,shipped
1126,Divya M,Karnataka,Smartwatch,1,2500,delivered
1127,Pritam Paul,West Bengal,Laptop Bag,2,850,pending
1131,Jyoti Kiran,Bihar,Keyboard,1,700,pending
1133,Ishita Sen,West Bengal,Tablet,1,16000,shipped
1135,Rajesh Sinha,Chhattisgarh,Mouse,1,-450,pending
1136,Anand Nair,Kerala,Keyboard,1,750,shipped
1137,Indu Priya,Karnataka,Smartwatch,2,2500,delivered
1138,Om Prakash,Haryana,Speaker,3,1200,pending
1140,Kiran Rathod,Gujarat,Mobile Phone,2,15000,delivered
1141,Anupama Singh,Uttar Pradesh,USB Cable,2,200,shipped
1143,Iqbal Shaikh,Maharashtra,Tablet,4,18000,shipped
1145,Pooja Kaur,Punjab,Keyboard,1,700,delivered
1146,Faizan Ali,Jharkhand,Smartwatch,2,2500,cancelled
1147,Girish Patil,Karnataka,Headphones,3,-950,shipped
1148,Nitu Rani,Bihar,Mouse,2,350,pending
1149,Arjun Singh,Himachal Pradesh,USB Cable,5,200,delivered
1150,Damodhar Reddy,Andhra Pradesh,Tablet,1,16000,shipped
