asset_tag,asset_type,serial_number,manufacturer,model,purchase_date,warranty_years,condition_status,assigned_to,location,asset_status,last_updated
UST-LTP-0002,Laptop,SN-LN-10002,Lenovo,ThinkPad E15,2023-02-10,2,New,Anjali Nair,Bangalore,Assigned,2025-11-26 22:04:57.519699
UST-LTP-0010,Laptop,SN-LN-10010,Lenovo,ThinkPad E17,2023-02-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-26 22:04:57.522891
UST-LTP-0014,Laptop,SN-LN-10014,Lenovo,ThinkPad E18,2023-02-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-26 22:04:57.525185
UST-LTP-0018,Laptop,SN-LN-10018,Lenovo,ThinkPad E19,2022-06-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-26 22:04:57.528199
UST-LTP-0022,Laptop,SN-LN-10022,Lenovo,ThinkPad E20,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-26 22:04:57.532045
UST-LTP-0030,Laptop,SN-LN-10030,Lenovo,ThinkPad E22,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-26 22:04:57.536413
UST-LTP-0034,Laptop,SN-LN-10034,Lenovo,ThinkPad E23,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-26 22:04:57.538726
UST-LTP-0038,Laptop,SN-LN-10038,Lenovo,ThinkPad E24,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-26 22:04:57.540710
UST-LTP-0042,Laptop,SN-LN-10042,Lenovo,ThinkPad E25,2023-02-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-26 22:04:57.542703
UST-LTP-0050,Laptop,SN-LN-10050,Lenovo,ThinkPad E27,2023-09-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-26 22:04:57.546513
UST-LTP-0054,Laptop,SN-LN-10054,Lenovo,ThinkPad E28,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-26 22:04:57.548947
UST-LTP-0058,Laptop,SN-LN-10058,Lenovo,ThinkPad E29,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-26 22:04:57.551036
UST-LTP-0062,Laptop,SN-LN-10062,Lenovo,ThinkPad E30,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-26 22:04:57.553160
UST-LTP-0070,Laptop,SN-LN-10070,Lenovo,ThinkPad E32,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-26 22:04:57.556564
UST-LTP-0074,Laptop,SN-LN-10074,Lenovo,ThinkPad E33,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-26 22:04:57.558719
UST-LTP-0078,Laptop,SN-LN-10078,Lenovo,ThinkPad E34,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-26 22:04:57.560729
UST-LTP-0082,Laptop,SN-LN-10082,Lenovo,ThinkPad E35,2023-05-18,2,New,Anjali Nair,Bangalore,Assigned,2025-11-26 22:04:57.563957
UST-LTP-0090,Laptop,SN-LN-10090,Lenovo,ThinkPad E37,2023-06-12,2,New,Preeti Singh,Bangalore,Assigned,2025-11-26 22:04:57.568345
UST-LTP-0094,Laptop,SN-LN-10094,Lenovo,ThinkPad E38,2023-08-15,2,New,Divya Menon,Bangalore,Assigned,2025-11-26 22:04:57.570613
UST-LTP-0098,Laptop,SN-LN-10098,Lenovo,ThinkPad E39,2022-12-11,2,New,Neha Gupta,Bangalore,Assigned,2025-11-26 22:04:57.572805
