order_id,customer_name,state,product,quantity,price_per_unit,status,total_price
1001,Asha Verma,Uttar Pradesh,Mobile Phone,1,15000.0,shipped,15000.0
1008,Joseph Dsouza,Goa,USB Cable,5,-150.0,delivered,-750.0
1010,Ramesh Naik,Andhra Pradesh,Speaker,1,1200.0,pending,1200.0
1011,Alok Pandey,Uttarakhand,Mouse,2,450.0,delivered,900.0
1012,Savita Borkar,Maharashtra,Laptop,1,52000.0,shipped,52000.0
1014,Naveen Patil,Karnataka,Tablet,4,18000.0,shipped,72000.0
1015,Sheela Mishra,Madhya Pradesh,Laptop Bag,2,-900.0,pending,-1800.0
1016,Karan Arora,Haryana,Charger,1,450.0,shipped,450.0
1018,Sameer Khan,Rajasthan,Mouse,2,350.0,delivered,700.0
1020,Vijay Gupta,Uttar Pradesh,Mobile Phone,2,14500.0,shipped,29000.0
1022,K. Suresh,Tamil Nadu,Keyboard,1,-700.0,shipped,-700.0
1023,Naresh Joshi,Gujarat,Charger,2,450.0,pending,900.0
1025,Anita Yadav,Haryana,Tablet,3,16000.0,shipped,48000.0
1027,Arun Babu,Andhra Pradesh,USB Cable,4,200.0,shipped,800.0
1028,Manoj Kumar,Bihar,Mouse,1,450.0,delivered,450.0
1030,Rita Fernandes,Goa,Laptop Bag,2,-850.0,pending,-1700.0
1033,Megha Kapoor,Rajasthan,Charger,1,300.0,delivered,300.0
1034,Shruti Rao,Karnataka,Mobile Phone,2,16000.0,shipped,32000.0
1036,Vishal Mehta,Gujarat,Keyboard,1,750.0,delivered,750.0
1037,Pooja Sethi,Haryana,Headphones,4,-999.0,shipped,-3996.0
1040,Trisha Dutt,West Bengal,Charger,3,250.0,shipped,750.0
1041,Aamir Hussain,Jharkhand,USB Cable,2,200.0,delivered,400.0
1042,Deepak Oraon,Chhattisgarh,Laptop Bag,1,800.0,shipped,800.0
1046,Rajiv Patel,Gujarat,Keyboard,1,650.0,shipped,650.0
1047,Mohan Lal,Himachal Pradesh,Mouse,2,350.0,pending,700.0
1049,Salman Yusuf,Karnataka,Laptop,1,48000.0,delivered,48000.0
1050,Aparna Pillai,Kerala,Tablet,2,15000.0,shipped,30000.0
1051,Yogesh Kumar,Maharashtra,USB Cable,4,200.0,pending,800.0
1052,Shivani Goyal,Haryana,Mobile Phone,2,15000.0,shipped,30000.0
1053,Omkar Joshi,Goa,Charger,3,300.0,delivered,900.0
1055,Farida Rahman,Assam,Keyboard,1,700.0,shipped,700.0
1056,Lalit Kumar,Bihar,Smartwatch,2,2500.0,cancelled,5000.0
1058,John Abraham,Kerala,Headphones,2,900.0,shipped,1800.0
1060,Hari Krishnan,Tamil Nadu,USB Cable,2,200.0,shipped,400.0
1061,Suman Das,West Bengal,Laptop Bag,1,750.0,delivered,750.0
1064,Ritika Rao,Karnataka,Speaker,1,1200.0,shipped,1200.0
1065,Jessica Dsouza,Goa,Tablet,4,18000.0,pending,72000.0
1066,Satish Anand,Punjab,Mobile Phone,2,15000.0,delivered,30000.0
1067,Latika Tiwari,Uttar Pradesh,Charger,3,250.0,shipped,750.0
1070,Vineet Soni,Himachal Pradesh,USB Cable,4,200.0,delivered,800.0
1072,Kabir Arora,Punjab,Laptop,1,52000.0,shipped,52000.0
1074,Sachin Kumar,Bihar,Headphones,3,-999.0,cancelled,-2997.0
1076,Amrit Pal,Haryana,Mouse,2,350.0,shipped,700.0
1077,Varsha Bhandari,Gujarat,Keyboard,1,700.0,delivered,700.0
1079,Priya Nair,Kerala,Smartwatch,2,2500.0,shipped,5000.0
1080,Farhan Ali,Uttar Pradesh,Speaker,1,1200.0,cancelled,1200.0
1082,Deepika Madhavan,Karnataka,Charger,2,300.0,pending,600.0
1083,Mohan Rao,Andhra Pradesh,Laptop Bag,1,850.0,delivered,850.0
1084,Nalini Sharma,Rajasthan,Mouse,2,-450.0,shipped,-900.0
1088,Kavin Kumar,Tamil Nadu,Headphones,5,999.0,pending,4995.0
1090,Alisha Fernandes,Goa,Smartwatch,2,3000.0,delivered,6000.0
1093,Manish Patel,Gujarat,USB Cable,2,200.0,delivered,400.0
1097,Raghav Sharma,Rajasthan,Smartwatch,2,2600.0,cancelled,5200.0
1099,Rafiq Alam,Bihar,Mouse,1,-400.0,pending,-400.0
1100,Nilima Patil,Maharashtra,Smartwatch,4,2600.0,shipped,10400.0
1101,Vijay Rane,Maharashtra,Keyboard,2,750.0,shipped,1500.0
1102,Vasudha Rao,Karnataka,Speaker,1,1200.0,delivered,1200.0
1103,Bhavana Singh,Uttarakhand,Mobile Phone,2,14000.0,pending,28000.0
1104,Sujit Kumar,Jharkhand,Tablet,1,15500.0,shipped,15500.0
1105,Karishma Mehta,Gujarat,Mouse,2,450.0,shipped,900.0
1108,Ritesh Sharma,Rajasthan,USB Cable,5,200.0,cancelled,1000.0
1110,Tina Karki,Sikkim,Smartwatch,1,2500.0,pending,2500.0
1112,Sneha Nambiar,Kerala,Charger,1,300.0,shipped,300.0
1113,Rohit Sinha,Bihar,Headphones,4,-899.0,pending,-3596.0
1115,Ganesh Patil,Maharashtra,Laptop,1,52000.0,shipped,52000.0
1116,Lavanya Rao,Andhra Pradesh,Keyboard,1,700.0,pending,700.0
1118,Saurabh Das,Assam,Speaker,1,1200.0,shipped,1200.0
1119,Shankar Iyer,Tamil Nadu,Smartwatch,2,2600.0,delivered,5200.0
1120,Aneesh George,Kerala,Mouse,3,400.0,pending,1200.0
1122,Asha Dey,Tripura,USB Cable,2,200.0,delivered,400.0
1124,Aryan Mehra,Haryana,Keyboard,1,650.0,shipped,650.0
1125,Yusuf Pathan,Gujarat,Mouse,3,350.0,shipped,1050.0
1126,Divya M,Karnataka,Smartwatch,1,2500.0,delivered,2500.0
1127,Pritam Paul,West Bengal,Laptop Bag,2,850.0,pending,1700.0
1131,Jyoti Kiran,Bihar,Keyboard,1,700.0,pending,700.0
1133,Ishita Sen,West Bengal,Tablet,1,16000.0,shipped,16000.0
1135,Rajesh Sinha,Chhattisgarh,Mouse,1,-450.0,pending,-450.0
1136,Anand Nair,Kerala,Keyboard,1,750.0,shipped,750.0
1137,Indu Priya,Karnataka,Smartwatch,2,2500.0,delivered,5000.0
1138,Om Prakash,Haryana,Speaker,3,1200.0,pending,3600.0
1140,Kiran Rathod,Gujarat,Mobile Phone,2,15000.0,delivered,30000.0
1141,Anupama Singh,Uttar Pradesh,USB Cable,2,200.0,shipped,400.0
1143,Iqbal Shaikh,Maharashtra,Tablet,4,18000.0,shipped,72000.0
1145,Pooja Kaur,Punjab,Keyboard,1,700.0,delivered,700.0
1146,Faizan Ali,Jharkhand,Smartwatch,2,2500.0,cancelled,5000.0
1147,Girish Patil,Karnataka,Headphones,3,-950.0,shipped,-2850.0
1148,Nitu Rani,Bihar,Mouse,2,350.0,pending,700.0
1149,Arjun Singh,Himachal Pradesh,USB Cable,5,200.0,delivered,1000.0
1150,Damodhar Reddy,Andhra Pradesh,Tablet,1,16000.0,shipped,16000.0
