order_id,customer_name,state,product,quantity,price_per_unit,status,error_reason
1002,Imran Shaikh,Maharashtra,Laptop Bag,two,800,pending,Invalid quantity format: 'two'
1004,Priya Singh,Karnataka,Keyboard,0,700,cancelled,Quantity must be positive
1005,R. Kumar,Tamil Nadu,Tablet,2,,shipped,Missing price_per_unit
1006,,Gujarat,Headphones,1,999,shipped,Customer name is empty
1007,Harpreet Kaur,Punjab,Charger,,450,pending,Invalid quantity format: ''
1009,Anjali Menon,Kerala,Smartwatch,three,3400,shipped,Invalid quantity format: 'three'
1010,Ramesh Naik,Andhra Pradesh,Speaker,1,1200,pending,Invalid state: Andhra Pradesh
1013,Meena Reddy,Telangana,Keyboard,abc,600,cancelled,Invalid quantity format: 'abc'
1017,Deepthi Rao,Kerala,Smartwatch,0,2500,pending,Quantity must be positive
1019,Aditi Sharma,Delhi,Tablet,,15000,shipped,Invalid quantity format: ''
1021,Sonam Chhetri,Sikkim,Mouse,three,400,cancelled,Invalid state: Sikkim
1024,,Punjab,Speaker,1,1200,delivered,Customer name is empty
1026,Samuel Varghese,Kerala,Mobile Phone,0,14000,pending,Quantity must be positive
1027,Arun Babu,Andhra Pradesh,USB Cable,4,200,shipped,Invalid state: Andhra Pradesh
1029,Usha Thakur,Madhya Pradesh,Keyboard,three,650,cancelled,Invalid quantity format: 'three'
1032,Anuj Tyagi,Uttar Pradesh,Tablet,1,,pending,Missing price_per_unit
1035,Anil Kumar,Tamil Nadu,Mouse,,500,pending,Invalid quantity format: ''
1038,Shaheen Ali,Jammu & Kashmir,Smartwatch,1,2800,pending,Invalid state: Jammu & Kashmir
1039,Rishi Batra,Punjab,Mouse,0,450,cancelled,Quantity must be positive
1043,Maria Lopez,InvalidState,Tablet,2,12000,shipped,Invalid state: InvalidState
1045,Sonia Jain,Rajasthan,Speaker,one,1800,delivered,Invalid quantity format: 'one'
1048,Akriti Sharma,Uttar Pradesh,Smartwatch,0,3000,shipped,Quantity must be positive
1054,Nikhil Gupta,Madhya Pradesh,Mouse,three,450,pending,Invalid quantity format: 'three'
1057,Swati Desai,Gujarat,Tablet,1,,delivered,Missing price_per_unit
1059,Tara Sharma,Delhi,Mobile Phone,0,14000,pending,Quantity must be positive
1062,Nawaz Sheikh,Jammu & Kashmir,Keyboard,2,-650,pending,Invalid state: Jammu & Kashmir
1063,Prem Roy,Haryana,Mouse,one,450,cancelled,Invalid quantity format: 'one'
1068,Kuldeep Singh,Rajasthan,Smartwatch,,2800,pending,Invalid quantity format: ''
1071,Ashok Menon,Kerala,Mouse,0,450,pending,Quantity must be positive
1073,Nisha Reddy,Telangana,Tablet,two,16000,delivered,Invalid quantity format: 'two'
1075,Elena Richard,Tamil Nadu,Mobile Phone,1,,pending,Missing price_per_unit
1078,Avinash Sethi,Delhi,USB Cable,three,200,pending,Invalid quantity format: 'three'
1081,K. Rajan,Tamil Nadu,Tablet,0,15000,shipped,Quantity must be positive
1083,Mohan Rao,Andhra Pradesh,Laptop Bag,1,850,delivered,Invalid state: Andhra Pradesh
1085,Irfan Qureshi,Jammu & Kashmir,Keyboard,1,650,pending,Invalid state: Jammu & Kashmir
1087,Gurpreet Singh,Punjab,Mouse,,500,delivered,Invalid quantity format: ''
1089,Rachna Tiwari,Uttar Pradesh,Mouse,one,350,shipped,Invalid quantity format: 'one'
1091,Rehan Malik,Haryana,Laptop Bag,1,,pending,Missing price_per_unit
1094,,Madhya Pradesh,Mobile Phone,2,15000,pending,Customer name is empty
1095,Vikas Babu,Karnataka,Keyboard,three,700,shipped,Invalid quantity format: 'three'
1098,Sajida Begum,Andhra Pradesh,Tablet,,16000,shipped,Invalid state: Andhra Pradesh
1106,Mohan Das,Kerala,Laptop Bag,2,,pending,Missing price_per_unit
1107,Sadia Qureshi,Delhi,Headphones,abc,950,delivered,Invalid quantity format: 'abc'
1109,Ankush Gupta,Haryana,Mouse,0,350,shipped,Quantity must be positive
1110,Tina Karki,Sikkim,Smartwatch,1,2500,pending,Invalid state: Sikkim
1111,Javed Khan,Uttar Pradesh,Mobile Phone,one,15000,delivered,Invalid quantity format: 'one'
1114,Tabassum Bano,Jammu & Kashmir,Tablet,2,16000,delivered,Invalid state: Jammu & Kashmir
1116,Lavanya Rao,Andhra Pradesh,Keyboard,1,700,pending,Invalid state: Andhra Pradesh
1117,Mishti Roy,West Bengal,Mouse,,450,cancelled,Invalid quantity format: ''
1121,Kashmira Shah,Goa,Tablet,0,16000,shipped,Quantity must be positive
1122,Asha Dey,Tripura,USB Cable,2,200,delivered,Invalid state: Tripura
1123,Nizam Ali,Delhi,Charger,one,300,pending,Invalid quantity format: 'one'
1128,Sachin Yadav,Uttar Pradesh,Mobile Phone,,15000,shipped,Invalid quantity format: ''
1129,Harsha P,Vizag,Smartwatch,2,2500,delivered,Invalid state: Vizag
1130,,InvalidState,Mouse,2,450,shipped,Customer name is empty
1132,Pramod K,Maharashtra,Headphones,0,999,cancelled,Quantity must be positive
1134,Shreya Kole,Maharashtra,USB Cable,three,200,delivered,Invalid quantity format: 'three'
1139,Saloni Mishra,Delhi,Charger,0,300,shipped,Quantity must be positive
1142,Mukesh Das,Assam,Mouse,one,450,pending,Invalid quantity format: 'one'
1144,Sahana Rao,Telangana,Mobile Phone,1,,pending,Missing price_per_unit
1150,Damodhar Reddy,Andhra Pradesh,Tablet,1,16000,shipped,Invalid state: Andhra Pradesh
