order_id,customer_name,state,product,quantity,price_per_unit,status,error_reason
1002,Imran Shaikh,Maharashtra,Laptop Bag,two,800,pending,
1004,Priya Singh,Karnataka,Keyboard,0,700,cancelled,
1005,R. Kumar,Tamil Nadu,Tablet,2,,shipped,
1006,,Gujarat,Headphones,1,999,shipped,
1007,Harpreet Kaur,Punjab,Charger,,450,pending,
1008,Joseph Dsouza,Goa,USB Cable,5,-150,delivered,
1009,Anjali Menon,Kerala,Smartwatch,three,3400,shipped,
1010,Ramesh Naik,Andhra Pradesh,Speaker,1,1200,pending,
1011,Alok Pandey,Uttarakhand,Mouse,2,450,delivered,
1013,Meena Reddy,Telangana,Keyboard,abc,600,cancelled,
1015,Sheela Mishra,Madhya Pradesh,Laptop Bag,2,-900,pending,
1016,Karan Arora,Haryana,Charger,1,450,shipped,
1017,Deepthi Rao,Kerala,Smartwatch,0,2500,pending,
1019,Aditi Sharma,Delhi,Tablet,,15000,shipped,
1021,Sonam Chhetri,Sikkim,Mouse,three,400,cancelled,
1024,,Punjab,Speaker,1,1200,delivered,
1025,Anita Yadav,Haryana,Tablet,3,16000,shipped,
1026,Samuel Varghese,Kerala,Mobile Phone,0,14000,pending,
1027,Arun Babu,Andhra Pradesh,USB Cable,4,200,shipped,
1028,Manoj Kumar,Bihar,Mouse,1,450,delivered,
1029,Usha Thakur,Madhya Pradesh,Keyboard,three,650,cancelled,
1030,Rita Fernandes,Goa,Laptop Bag,2,-850,pending,
1032,Anuj Tyagi,Uttar Pradesh,Tablet,1,,pending,
1035,Anil Kumar,Tamil Nadu,Mouse,,500,pending,
1037,Pooja Sethi,Haryana,Headphones,4,-999,shipped,
1038,Shaheen Ali,Jammu & Kashmir,Smartwatch,1,2800,pending,
1039,Rishi Batra,Punjab,Mouse,0,450,cancelled,
1041,Aamir Hussain,Jharkhand,USB Cable,2,200,delivered,
1042,Deepak Oraon,Chhattisgarh,Laptop Bag,1,800,shipped,
1043,Maria Lopez,InvalidState,Tablet,2,12000,shipped,
1045,Sonia Jain,Rajasthan,Speaker,one,1800,delivered,
1047,Mohan Lal,Himachal Pradesh,Mouse,2,350,pending,
1048,Akriti Sharma,Uttar Pradesh,Smartwatch,0,3000,shipped,
1052,Shivani Goyal,Haryana,Mobile Phone,2,15000,shipped,
1053,Omkar Joshi,Goa,Charger,3,300,delivered,
1054,Nikhil Gupta,Madhya Pradesh,Mouse,three,450,pending,
1055,Farida Rahman,Assam,Keyboard,1,700,shipped,
1056,Lalit Kumar,Bihar,Smartwatch,2,2500,cancelled,
1057,Swati Desai,Gujarat,Tablet,1,,delivered,
