asset_tag,asset_type,serial_number,manufacturer,model,purchase_date,warranty_years,condition_status,assigned_to,location,asset_status
UST-LTP-0001,Laptop,SN-DL-10001,Dell,Latitude 5520,1/15/2022,3,Good,Rohit Sharma,Trivandrum,Assigned
UST-LTP-0002,Laptop,SN-LN-10002,Lenovo,ThinkPad E15,2/10/2023,2,New,Anjali Nair,Bangalore,Assigned
UST-MNT-0003,Monitor,SN-LG-10003,LG,UltraWide 29WL500,11/20/2021,2,Good,,Chennai,Available
UST-MNT-0004,Monitor,SN-SAM-10004,Samsung,S24R350,3/12/2023,3,New,,Hyderabad,Available
UST-LTP-0005,Laptop,SN-DL-10005,Dell,Latitude 5521,12/1/2024,3,Good,Ramesh Kumar,Trivandrum,Assigned
UST-LTP-0006,Laptop,SN-LN-10006,Lenovo,ThinkPad E16,6/10/2022,-1,New,Anita Das,Bangalore,Assigned
UST-MNT-0007,Monitor,SN-LG-10007,LG,,11/22/2021,2,Fair,,Chennai,Available
UST-MNT-0008,Monitor,SN-SAM-10008,Samsng,S24R351,3/12/2025,3,Good,,Hyderabad,Available
UST-LTP-0009,Laptop,SN-DL-10009,Dell,Latitude 5522,1/18/2022,0,Excellent,Vivek Reddy,Trivandrum,Assigned
UST-LTP-0010,Laptop,SN-LN-10010,Lenovo,ThinkPad E17,2/12/2023,2,New,Preeti Singh,Bangalore,Assigned
UST-MNT-0011,Monitor,SN-LG-10011,LG,UltraWide 29WL501,11/21/2021,2,Good,,Chennai,Available
UST-MNT-0012,Monitor,SN-SAM-10012,Samsung,S24R352,3/13/2023,3,New,,Hyderabad,Available
UST-LTP-0013,Laptop,SN-DL-10013,Dell,Latitude 5523,1/20/2022,3,Fair,Rajesh Patel,Trivandrum,Assigned
UST-LTP-0014,Laptop,SN-LN-10014,Lenovo,ThinkPad E18,2/15/2023,2,New,Divya Menon,Bangalore,Assigned
UST-MNT-0015,Monitor,SN-LG-10015,LG,UltraWide 29WL502,11/23/2021,2,Good,,Chennai,Available
UST-MNT-0016,Monitor,SN-SAM-10016,Samsung,S24R353,3/14/2023,3,New,,Hyderabad,Available
